98,98,67,98,11,98,22,98
98,98,67,65,35,44,33,98
98,33,45,6,65,66,67,68
87,87,87,54,87,76,87,81
87,46,67,87,76,87,87,82
87,87,88,87,85,84,83,87
78,69,87,98,98,70,71,87
84,79,78,76,75,21,73,74
12,12,12,12,12,12,12,12
35,35,35,23,35,35,35,35
65,65,65,34,43,65,65,65
68,68,68,68,45,68,68,68
23,23,23,87,93,23,23,23
43,43,98,9,32,43,43,43
54,65,97,21,89,89,89,89
90,76,67,43,90,90,90,90
67,67,67,21,67,23,67,67
76,76,76,76,76,76,76,76
87,87,87,32,76,87,87,87
87,45,65,34,87,87,76,67
87,34,87,98,87,67,55,55
87,87,23,98,9,65,66,44
21,21,21,21,100,21,21,21
12,12,12,12,32,12,12,12
35,35,35,43,35,53,35,35
65,65,65,23,78,65,46,65
68,68,68,68,56,68,48,68
23,23,53,23,85,78,48,23
43,43,53,43,35,54,55,57
89,89,89,53,89,53,56,89
65,13,42,75,45,56,90,90
42,39,54,67,47,49,89,90
76,76,76,76,76,74,76,76
87,87,87,45,54,37,73,87
87,87,87,65,76,45,37,87
87,100,35,87,87,64,74,87
87,87,87,87,87,74,87,87
21,76,76,56,76,21,65,21
75,75,78,12,77,12,35,75
35,89,35,35,35,35,35,35
65,65,89,56,65,65,65,65
68,68,68,68,68,68,68,68
23,23,23,23,23,23,23,23
43,43,43,43,43,43,43,43
89,89,87,89,89,89,89,89
90,64,90,97,56,53,55,99
67,64,66,77,88,54,55,67
76,76,76,72,73,73,76,76
87,87,87,94,87,74,87,87
87,93,39,87,87,94,87,87
87,87,93,93,94,95,96,87
87,75,87,87,87,87,87,87
65,43,31,55,66,77,88,21
64,54,65,66,63,67,69,75
35,35,35,35,35,35,35,35
65,65,65,65,65,65,65,65
68,68,68,68,68,68,68,68
34,54,65,76,87,98,55,42
43,87,45,43,56,43,87,88
76,43,43,43,43,43,43,43
